participant,condition,timestamp,interval_s
Participant_10,SemiStationary,389.9,25.899999999999977
Participant_10,SemiStationary,399.8,9.900000000000034
Participant_10,SemiStationary,408.36,8.560000000000002
Participant_10,SemiStationary,429.76,21.399999999999977
Participant_10,SemiStationary,442.52,12.759999999999991
Participant_10,SemiStationary,467.0,24.480000000000018
Participant_10,SemiStationary,485.82,18.819999999999993
Participant_10,SemiStationary,495.4,9.579999999999984
Participant_10,SemiStationary,501.32,5.920000000000016
Participant_10,SemiStationary,516.7,15.380000000000052
Participant_10,SemiStationary,539.02,22.319999999999936
Participant_10,SemiStationary,559.41,20.389999999999986
Participant_10,SemiStationary,583.74,24.33000000000004
Participant_10,SemiStationary,596.82,13.080000000000041
Participant_10,SemiStationary,613.8,16.979999999999905
Participant_10,SemiStationary,623.65,9.850000000000023
Participant_10,SemiStationary,642.5,18.850000000000023
Participant_10,SemiStationary,689.4,46.89999999999998
Participant_10,Stationary,113.17,15.61
Participant_10,Stationary,115.61,2.4399999999999977
Participant_10,Stationary,128.78,13.170000000000002
Participant_10,Stationary,142.4,13.620000000000005
Participant_10,Stationary,157.8,15.400000000000006
Participant_10,Stationary,185.35,27.549999999999983
Participant_10,Stationary,198.75,13.400000000000006
Participant_10,Stationary,202.21,3.460000000000008
Participant_10,Stationary,217.81,15.599999999999994
Participant_10,Stationary,221.43,3.6200000000000045
Participant_10,Stationary,239.07,17.639999999999986
Participant_10,Stationary,259.0,19.930000000000007
Participant_10,Stationary,270.26,11.259999999999991
Participant_10,Stationary,288.81,18.55000000000001
Participant_10,Stationary,304.67,15.860000000000014
Participant_10,Stationary,315.81,11.139999999999986
Participant_10,Stationary,331.97,16.160000000000025
Participant_10,Stationary,349.92,17.94999999999999
Participant_10,Stationary,362.81,12.889999999999986
Participant_10,Stationary,369.94,7.1299999999999955
Participant_11,Moving,462.8,13.259999999999991
Participant_11,Moving,530.8,67.99999999999994
Participant_11,Moving,547.83,17.030000000000086
Participant_11,Moving,568.87,21.039999999999964
Participant_11,Moving,595.4,26.529999999999973
Participant_11,Moving,615.56,20.159999999999968
Participant_11,Moving,642.74,27.180000000000064
Participant_11,Moving,672.0,29.25999999999999
Participant_11,Moving,681.63,9.629999999999995
Participant_11,Moving,692.74,11.110000000000014
Participant_11,Moving,730.01,37.26999999999998
Participant_11,Moving,730.21,0.20000000000004547
Participant_11,Moving,744.3,14.089999999999918
Participant_11,Moving,773.15,28.850000000000023
Participant_11,Moving,792.35,19.200000000000045
Participant_11,Moving,801.97,9.620000000000005
Participant_11,Moving,870.41,68.43999999999994
