condition,task,anchors,n_total,H_kruskal,p_kruskal,epsilon_squared
Moving,Controls,3,21,2.4350649350649434,0.295959556472402,0.02175324675324717
Moving,Key,3,18,0.4830827067669148,0.7854163234950053,-0.0892304290137109
Moving,Visual,3,19,1.7956140350877234,0.40746223821836614,-0.011354775828459809
SemiStationary,Controls,3,18,3.327751196172244,0.18940350395969244,0.07810301153954376
SemiStationary,Key,4,21,0.4056895485467038,0.9390646756487401,-0.1297155225726648
SemiStationary,Visual,3,19,1.4298245614035139,0.4892350252672266,-0.03167641325536034
