participant,condition,task,mean_interval_s,median_interval_s,std_interval_s,count
Participant_5,SemiStationary,Key,76.23333333333335,71.70000000000005,17.942314975127015,6
Participant_5,SemiStationary,Visual,72.67833333333333,76.21999999999991,24.92682123068779,6
Participant_5,Stationary,Controls,50.838333333333345,43.545000000000016,19.742120875596587,6
Participant_5,Stationary,Key,51.60166666666665,48.504999999999995,17.15531569708543,6
Participant_5,Stationary,Visual,51.29333333333333,42.28499999999997,20.402971025482216,6
Participant_6,Moving,Controls,74.52666666666666,77.96500000000003,25.802267083856563,6
Participant_6,Moving,Key,73.2333333333333,74.19999999999993,24.081419116544353,6
Participant_6,Moving,Visual,77.91666666666669,80.75999999999999,21.655038828565154,6
Participant_6,SemiStationary,Controls,49.443333333333335,42.25999999999999,30.566794837971916,6
Participant_6,SemiStationary,Key,48.665,36.39500000000004,23.371430208697095,6
Participant_6,SemiStationary,Visual,42.88999999999999,41.139999999999986,18.198826335783302,6
Participant_6,Stationary,Controls,48.27833333333334,40.464999999999975,25.01857743091459,6
Participant_6,Stationary,Key,37.498333333333335,44.995000000000005,30.981253310133603,6
Participant_6,Stationary,Visual,48.31999999999999,47.19,23.84191519152773,6
Participant_7,Moving,Controls,80.36166666666666,77.73500000000001,27.521110018795866,6
Participant_7,Moving,Key,82.835,79.00499999999997,14.832376411081247,6
Participant_7,Moving,Visual,75.21999999999998,73.45999999999998,17.73733125360179,6
Participant_7,SemiStationary,Controls,69.68833333333335,68.62,35.73364712237847,6
Participant_7,SemiStationary,Key,72.33166666666666,67.70499999999993,24.176254810591903,6
Participant_7,SemiStationary,Visual,70.44999999999999,69.11999999999995,25.5903638114037,6
Participant_7,Stationary,Controls,54.38666666666668,51.93000000000001,20.794154627362605,6
Participant_7,Stationary,Key,49.26833333333334,50.39500000000001,11.638455939971863,6
Participant_7,Stationary,Visual,50.17166666666666,52.34500000000001,8.209456539057024,6
Participant_8,Moving,Controls,63.349999999999994,70.52999999999997,31.064184521728556,6
Participant_8,Moving,Key,56.96666666666667,57.30000000000001,18.04131665557329,6
Participant_8,Moving,Visual,57.29500000000001,53.565,16.058952331954938,6
Participant_8,SemiStationary,Controls,66.82666666666667,69.7600000000001,14.113920315301083,6
Participant_8,SemiStationary,Key,64.13333333333333,64.60000000000002,16.331401246269923,6
Participant_8,SemiStationary,Visual,59.68666666666667,55.829999999999984,28.950103051054256,6
Participant_8,Stationary,Controls,40.22666666666667,39.10499999999999,21.710305079999813,6
Participant_8,Stationary,Key,38.13333333333333,38.0,11.434592544846835,6
Participant_8,Stationary,Visual,39.39166666666667,35.76000000000002,19.543388054957774,6
Participant_9,Moving,Controls,91.23,89.91000000000003,27.169064761231663,6
Participant_9,Moving,Key,92.96833333333332,86.29999999999995,27.887352987809127,6
Participant_9,Moving,Visual,83.23500000000001,84.71500000000003,22.62086536806229,6
Participant_9,SemiStationary,Controls,45.13499999999999,47.014999999999986,19.17341153785626,6
Participant_9,SemiStationary,Key,47.135,44.004999999999995,18.046622675725217,6
Participant_9,SemiStationary,Visual,49.900000000000006,48.39500000000004,21.614735714322308,6
Participant_9,Stationary,Controls,39.434999999999995,36.94999999999999,19.85319495698359,6
Participant_9,Stationary,Key,37.76666666666666,39.00499999999997,11.525534550148492,6
Participant_9,Stationary,Visual,34.36166666666667,36.960000000000036,20.329239451260015,6
