condition,task,friedman_chi2,kendalls_w,p_value,n
Moving,Controls,24.347368421052636,0.4271468144044322,2.113740006572173e-05,19
Moving,Key,24.157894736842138,0.423822714681441,2.3153885534677528e-05,19
Moving,Visual,25.294736842105294,0.44376731301939115,1.3397489917103528e-05,19
Semi-Stationary,Controls,15.442105263157885,0.27091412742382254,0.0014752891092844782,19
Semi-Stationary,Key,6.663157894736855,0.11689750692520799,0.08344533683398891,19
Semi-Stationary,Visual,14.747368421052613,0.25872576177285284,0.0020457758559338786,19
Stationary,Controls,34.95789473684209,0.6132963988919665,1.2434598495167017e-07,19
Stationary,Key,41.02105263157898,0.7196675900277014,6.47231541115214e-09,19
Stationary,Visual,41.58947368421053,0.729639889196676,4.903224373616058e-09,19
