condition,mean_changes,median_changes,std_changes,count
Moving,1.1578947368421053,1.0,0.7647191129018726,19
Semi-Stationary,1.3157894736842106,1.0,0.7492686492653552,19
Stationary,0.21052631578947367,0.0,0.5353033790313108,19
